11:23:14 AM-> [29031]DCON GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$00M], Rec [!01tAD4P2C2]Raw [21 30 31 74 41 44 34 50 32 43 32 ]
11:23:14 AM-> [47]DCON GET_MODULE_FIRMWARE,B[9600],F[N,8,1], C[Disable], Cmd [$00F], Rec [!01A1.5]Raw [21 30 31 41 31 2E 35 ]
11:23:14 AM-> [16]DCON GET_MODULE_PROTOCOL,B[9600],F[N,8,1], C[Disable], Cmd [$00P], Rec [!0131]Raw [21 30 31 33 31 ]
11:23:14 AM-> [31]DCON GetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [$002], Rec [!01000702]Raw [21 30 31 30 30 30 37 30 32 ]
11:23:14 AM-> [31]DCON SetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [%0001000602], Rec [!01]Raw [21 30 31 ]
11:23:14 AM-> [31]DCON SetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [%0001000702], Rec [!01]Raw [21 30 31 ]
11:23:14 AM-> Close COM 1
11:24:59 AM-> [104958]DCON GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$00M], Rec [!01tAD4P2C2]Raw [21 30 31 74 41 44 34 50 32 43 32 ]
11:24:59 AM-> [16]DCON GET_MODULE_FIRMWARE,B[9600],F[N,8,1], C[Disable], Cmd [$00F], Rec [!01A1.5]Raw [21 30 31 41 31 2E 35 ]
11:24:59 AM-> [15]DCON GET_MODULE_PROTOCOL,B[9600],F[N,8,1], C[Disable], Cmd [$00P], Rec [!0131]Raw [21 30 31 33 31 ]
11:24:59 AM-> [31]DCON GetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [$002], Rec [!01000702]Raw [21 30 31 30 30 30 37 30 32 ]
11:24:59 AM-> [32]DCON SetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [%0001000602], Rec [!01]Raw [21 30 31 ]
11:24:59 AM-> [31]DCON SetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [%0001000702], Rec [!01]Raw [21 30 31 ]
11:24:59 AM-> Close COM 1
11:26:11 AM-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$00M], Rec []Raw []
11:26:12 AM-> Modbus RTU Timeout  GET_MODULE_NAME,B[115200],F[N,8,1], , CmdType [100], Cmd [00 46 00 43 A0], wT = 600
11:26:12 AM-> [72291]DCON GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$00M], Rec [!01tAD4P2C2]Raw [21 30 31 74 41 44 34 50 32 43 32 ]
11:26:12 AM-> [15]DCON GET_MODULE_FIRMWARE,B[9600],F[N,8,1], C[Disable], Cmd [$00F], Rec [!01A1.5]Raw [21 30 31 41 31 2E 35 ]
11:26:12 AM-> [16]DCON GET_MODULE_FIRMWARE,B[9600],F[N,8,1], C[Disable], Cmd [$00F], Rec [!01A1.5]Raw [21 30 31 41 31 2E 35 ]
