1:37:51 PM-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$00M], Rec []Raw []
1:37:52 PM-> Modbus RTU Timeout  GET_MODULE_NAME,B[115200],F[N,8,1], , CmdType [100], Cmd [00 46 00 43 A0], wT = 600
1:37:52 PM-> [3962]DCON GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$00M], Rec [!01tP3R3]Raw [21 30 31 74 50 33 52 33 ]
1:37:52 PM-> [32]DCON GET_MODULE_FIRMWARE,B[9600],F[N,8,1], C[Disable], Cmd [$00F], Rec [!01A1.6]Raw [21 30 31 41 31 2E 36 ]
1:37:52 PM-> [31]DCON GET_MODULE_FIRMWARE,B[9600],F[N,8,1], C[Disable], Cmd [$00F], Rec [!01A1.6]Raw [21 30 31 41 31 2E 36 ]
1:37:52 PM-> [15]DCON GET_MODULE_PROTOCOL,B[9600],F[N,8,1], C[Disable], Cmd [$00P], Rec [!0131]Raw [21 30 31 33 31 ]
1:37:53 PM-> Modbus RTU Timeout  GET_MODULE_NAME,B[9600],F[N,8,1], , CmdType [100], Cmd [00 46 00 43 A0], wT = 600
1:37:53 PM-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$01M], Rec []Raw []
1:37:53 PM-> Close COM 1
1:37:54 PM-> [2543]DCON GET_MODULE_CONFIG,B[9600],F[N,8,1], C[Disable], Cmd [$002], Rec [!01400A00]Raw [21 30 31 34 30 30 41 30 30 ]
1:37:55 PM-> [31]DCON GET_RESPONSE_DELAY_TIME,B[9600],F[N,8,1], C[Disable], Cmd [~00RD], Rec [!0100]Raw [21 30 31 30 30 ]
1:37:55 PM-> [78]DCON READ_DO_POWER_ON,B[9600],F[N,8,1], C[Disable], Cmd [~004P], Rec [!010700]Raw [21 30 31 30 37 30 30 ]
1:37:55 PM-> [16]DCON READ_DO_SAFE_VALUE,B[9600],F[N,8,1], C[Disable], Cmd [~004S], Rec [!010400]Raw [21 30 31 30 34 30 30 ]
1:37:55 PM-> [31]DCON GET_GetWDTConfig,B[9600],F[N,8,1], C[Disable], Cmd [~002], Rec [!010FF]Raw [21 30 31 30 46 46 ]
1:37:55 PM-> [63]DCON GET_DI_REVERSE,B[9600],F[N,8,1], C[Disable], Cmd [~00D], Rec [!0101]Raw [21 30 31 30 31 ]
1:37:55 PM-> [46]DCON GET_MODULE_CONFIG,B[9600],F[N,8,1], C[Disable], Cmd [$002], Rec [!01400A00]Raw [21 30 31 34 30 30 41 30 30 ]
1:37:55 PM-> [609]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0707]Raw [3E 30 37 30 37 ]
