2:33:15 PM-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$80M], Rec []Raw []
2:33:16 PM-> Modbus RTU Timeout  GET_MODULE_NAME,B[115200],F[N,8,1], , CmdType [100], Cmd [80 46 00 42 48], wT = 600
2:33:17 PM-> DCON Error_GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$80M], Rec []Raw []
2:33:17 PM-> Modbus RTU Timeout  GET_MODULE_NAME,B[9600],F[N,8,1], , CmdType [100], Cmd [80 46 00 42 48], wT = 600
2:33:18 PM-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$00M], Rec []Raw []
2:33:19 PM-> Modbus RTU Timeout  GET_MODULE_NAME,B[115200],F[N,8,1], , CmdType [100], Cmd [00 46 00 43 A0], wT = 600
2:33:19 PM-> [9017]DCON GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$00M], Rec [!01tDA1P1R1]Raw [21 30 31 74 44 41 31 50 31 52 31 ]
2:33:19 PM-> [16]DCON GET_MODULE_FIRMWARE,B[9600],F[N,8,1], C[Disable], Cmd [$00F], Rec [!01A1.2]Raw [21 30 31 41 31 2E 32 ]
2:33:19 PM-> [15]DCON GET_MODULE_FIRMWARE,B[9600],F[N,8,1], C[Disable], Cmd [$00F], Rec [!01A1.2]Raw [21 30 31 41 31 2E 32 ]
2:33:19 PM-> [63]DCON GET_MODULE_PROTOCOL,B[9600],F[N,8,1], C[Disable], Cmd [$00P], Rec [!0130]Raw [21 30 31 33 30 ]
2:33:19 PM-> Modbus RTU Timeout  GET_MODULE_NAME,B[9600],F[N,8,1], , CmdType [100], Cmd [00 46 00 43 A0], wT = 600
2:33:20 PM-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$81M], Rec []Raw []
2:33:20 PM-> Close COM 1
2:33:20 PM-> [1529]DCON READ_DO_POWER_ON,B[9600],F[N,8,1], C[Disable], Cmd [~004P], Rec [!010100]Raw [21 30 31 30 31 30 30 ]
