5:13:59 PM-> [17051]DCON GET_MODULE_CONFIG,B[9600],F[N,8,1], C[Disable], Cmd [$002], Rec [!01000600]Raw [21 30 31 30 30 30 36 30 30 ]
5:13:59 PM-> [31]DCON GET_RESPONSE_DELAY_TIME,B[9600],F[N,8,1], C[Disable], Cmd [~00RD], Rec [!0105]Raw [21 30 31 30 35 ]
5:13:59 PM-> [63]DCON GET_CHANNEL_ENABLE_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [$006], Rec [!010F]Raw [21 30 31 30 46 ]
5:13:59 PM-> [31]DCON GET_CH0_INPUT_RANGE,B[9600],F[N,8,1], C[Disable], Cmd [$008C0], Rec [!01C0R08]Raw [21 30 31 43 30 52 30 38 ]
5:13:59 PM-> [31]DCON GET_CH1_INPUT_RANGE,B[9600],F[N,8,1], C[Disable], Cmd [$008C1], Rec [!01C1R08]Raw [21 30 31 43 31 52 30 38 ]
5:13:59 PM-> [31]DCON GET_CH2_INPUT_RANGE,B[9600],F[N,8,1], C[Disable], Cmd [$008C2], Rec [!01C2R08]Raw [21 30 31 43 32 52 30 38 ]
5:13:59 PM-> [16]DCON GET_CH3_INPUT_RANGE,B[9600],F[N,8,1], C[Disable], Cmd [$008C3], Rec [!01C3R08]Raw [21 30 31 43 33 52 30 38 ]
5:13:59 PM-> [62]DCON GET_WDT_TIMER_ENABLE,B[9600],F[N,8,1], C[Disable], Cmd [~002], Rec [!010FF]Raw [21 30 31 30 46 46 ]
5:13:59 PM-> [47]DCON GET_DI_REVERSE,B[9600],F[N,8,1], C[Disable], Cmd [~00D], Rec [!0101]Raw [21 30 31 30 31 ]
5:13:59 PM-> [94]DCON GET_CH0_SIMPLE_AI_LOW_ALARM_LIMIT,B[9600],F[N,8,1], C[Disable], Cmd [@00RLC0], Rec [!01-10.000]Raw [21 30 31 2D 31 30 2E 30 30 30 ]
5:13:59 PM-> [31]DCON GET_CH0_SIMPLE_AI_HIGH_ALARM_LIMIT,B[9600],F[N,8,1], C[Disable], Cmd [@00RHC0], Rec [!01+10.000]Raw [21 30 31 2B 31 30 2E 30 30 30 ]
5:13:59 PM-> [16]DCON READ_CH0_ALARM_MODE,B[9600],F[N,8,1], C[Disable], Cmd [@00RAC0], Rec [!010]Raw [21 30 31 30 ]
5:13:59 PM-> [31]DCON GET_CH1_SIMPLE_AI_LOW_ALARM_LIMIT,B[9600],F[N,8,1], C[Disable], Cmd [@00RLC1], Rec [!01-10.000]Raw [21 30 31 2D 31 30 2E 30 30 30 ]
5:13:59 PM-> [31]DCON GET_CH1_SIMPLE_AI_HIGH_ALARM_LIMIT,B[9600],F[N,8,1], C[Disable], Cmd [@00RHC1], Rec [!01+10.000]Raw [21 30 31 2B 31 30 2E 30 30 30 ]
5:13:59 PM-> [16]DCON READ_CH1_ALARM_MODE,B[9600],F[N,8,1], C[Disable], Cmd [@00RAC1], Rec [!010]Raw [21 30 31 30 ]
5:14:00 PM-> [218]DCON GET_MODULE_CONFIG,B[9600],F[N,8,1], C[Disable], Cmd [$002], Rec [!01000600]Raw [21 30 31 30 30 30 36 30 30 ]
5:14:00 PM-> [16]DCON GET_RESPONSE_DELAY_TIME,B[9600],F[N,8,1], C[Disable], Cmd [~00RD], Rec [!0105]Raw [21 30 31 30 35 ]
5:14:00 PM-> [234]DCON READ_CH0_AI,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [>+00.003]Raw [3E 2B 30 30 2E 30 30 33 ]
5:14:00 PM-> [15]DCON READ_CH1_AI,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [>+00.003]Raw [3E 2B 30 30 2E 30 30 33 ]
5:14:00 PM-> [31]DCON READ_CH2_AI,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [>+00.000]Raw [3E 2B 30 30 2E 30 30 30 ]
5:14:00 PM-> [16]DCON READ_CH3_AI,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [>+00.000]Raw [3E 2B 30 30 2E 30 30 30 ]
5:14:00 PM-> [31]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0100]Raw [21 30 31 30 30 ]
5:14:00 PM-> [31]DCON READ_SIMPLE_AI_ALARM_DIO_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [@00DI], Rec [!0100003]Raw [21 30 31 30 30 30 30 33 ]
5:14:00 PM-> [16]DCON READ_ALARM_DO_ON,B[9600],F[N,8,1], C[Disable], Cmd [@00RAO], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
5:14:00 PM-> [31]DCON READ_SIMPLE_AI_ALARM_DIO_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [@00DI], Rec [!0100003]Raw [21 30 31 30 30 30 30 33 ]
5:14:00 PM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000300]Raw [21 30 30 30 33 30 30 ]
5:14:00 PM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!030000]Raw [21 30 33 30 30 30 30 ]
5:14:00 PM-> [31]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [@00REC0], Rec [!0100000]Raw [21 30 31 30 30 30 30 30 ]
5:14:00 PM-> [16]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [@00REC1], Rec [!0100000]Raw [21 30 31 30 30 30 30 30 ]
5:14:01 PM-> [468]DCON READ_CH0_AI,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [>+00.002]Raw [3E 2B 30 30 2E 30 30 32 ]
5:14:01 PM-> [31]DCON READ_CH1_AI,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [>+00.005]Raw [3E 2B 30 30 2E 30 30 35 ]
5:14:01 PM-> [16]DCON READ_CH2_AI,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [>+00.000]Raw [3E 2B 30 30 2E 30 30 30 ]
