3:13:20 PM-> [0]DCON GET_MODULE_FIRMWARE,B[115200],F[N,8,1], C[Disable], Cmd [$01F], Rec [!01A3.02]Raw [21 30 31 41 33 2E 30 32 ]
3:13:20 PM-> [0]DCON READ_GetHotSwapSlotStatus_0,B[115200],F[N,8,1], C[Disable], Cmd [~01HZ0], Rec [!0100]Raw [21 30 31 30 30 ]
3:13:20 PM-> [0]DCON READ_GetHotSwapSlotStatus_1,B[115200],F[N,8,1], C[Disable], Cmd [~01HZ1], Rec [!0100]Raw [21 30 31 30 30 ]
3:13:20 PM-> [0]DCON READ_GetHotSwapSlotStatus_2,B[115200],F[N,8,1], C[Disable], Cmd [~01HZ2], Rec [!0100]Raw [21 30 31 30 30 ]
3:13:20 PM-> [0]DCON READ_GetHotSwapSlotStatus_3,B[115200],F[N,8,1], C[Disable], Cmd [~01HZ3], Rec [!0100]Raw [21 30 31 30 30 ]
3:13:20 PM-> [0]DCON READ_GetHotSwapSlotStatus_4,B[115200],F[N,8,1], C[Disable], Cmd [~01HZ4], Rec [!0100]Raw [21 30 31 30 30 ]
3:13:20 PM-> [16]DCON READ_GetHotSwapSlotStatus_5,B[115200],F[N,8,1], C[Disable], Cmd [~01HZ5], Rec [!0100]Raw [21 30 31 30 30 ]
3:13:20 PM-> [0]DCON READ_GetHotSwapSlotStatus_6,B[115200],F[N,8,1], C[Disable], Cmd [~01HZ6], Rec [!0100]Raw [21 30 31 30 30 ]
3:13:20 PM-> [0]DCON READ_GetHotSwapSlotStatus_7,B[115200],F[N,8,1], C[Disable], Cmd [~01HZ7], Rec [!0100]Raw [21 30 31 30 30 ]
3:13:20 PM-> [0]DCON GET_MODULE_FIRMWARE,B[115200],F[N,8,1], C[Disable], Cmd [$01F], Rec [!01A3.02]Raw [21 30 31 41 33 2E 30 32 ]
3:13:20 PM-> [0]DCON GET_MODULE_PROTOCOL,B[115200],F[N,8,1], C[Disable], Cmd [$01P], Rec [!010]Raw [21 30 31 30 ]
3:13:20 PM-> [15]DCON READ_GetHotSwapSlotID_0,B[115200],F[N,8,1], C[Disable], Cmd [~01HN0], Rec [!0187084]Raw [21 30 31 38 37 30 38 34 ]
3:13:20 PM-> [141]DCON READ_GetHotSwapSlotID_1,B[115200],F[N,8,1], C[Disable], Cmd [~01HN1], Rec [!01]Raw [21 30 31 ]
3:13:20 PM-> [0]DCON READ_GetHotSwapSlotID_2,B[115200],F[N,8,1], C[Disable], Cmd [~01HN2], Rec [!01]Raw [21 30 31 ]
3:13:20 PM-> [0]DCON READ_GetHotSwapSlotID_3,B[115200],F[N,8,1], C[Disable], Cmd [~01HN3], Rec [!01]Raw [21 30 31 ]
3:13:20 PM-> [15]DCON READ_GetHotSwapSlotID_4,B[115200],F[N,8,1], C[Disable], Cmd [~01HN4], Rec [!01]Raw [21 30 31 ]
3:13:20 PM-> [0]DCON READ_GetHotSwapSlotID_5,B[115200],F[N,8,1], C[Disable], Cmd [~01HN5], Rec [!01]Raw [21 30 31 ]
3:13:20 PM-> [0]DCON READ_GetHotSwapSlotID_6,B[115200],F[N,8,1], C[Disable], Cmd [~01HN6], Rec [!01]Raw [21 30 31 ]
3:13:20 PM-> [0]DCON READ_GetHotSwapSlotID_7,B[115200],F[N,8,1], C[Disable], Cmd [~01HN7], Rec [!01]Raw [21 30 31 ]
3:13:22 PM-> [2372]DCON GET_GetETConfig,B[115200],F[N,8,1], C[Disable], Cmd [$01XTI], Rec [!01010.000.008.119]Raw [21 30 31 30 31 30 2E 30 30 30 2E 30 30 38 2E 31 31 39 ]
3:13:22 PM-> [0]DCON GET_GetETConfig,B[115200],F[N,8,1], C[Disable], Cmd [$01XTM], Rec [!01255.255.000.000]Raw [21 30 31 32 35 35 2E 32 35 35 2E 30 30 30 2E 30 30 30 ]
3:13:22 PM-> [0]DCON GET_GetETConfig,B[115200],F[N,8,1], C[Disable], Cmd [$01XTG], Rec [!01010.000.008.254]Raw [21 30 31 30 31 30 2E 30 30 30 2E 30 30 38 2E 32 35 34 ]
3:13:22 PM-> [15]DCON READ_GetHotSwapSlotID0,B[115200],F[N,8,1], C[Disable], Cmd [~01HN0], Rec [!0187084]Raw [21 30 31 38 37 30 38 34 ]
3:13:22 PM-> [0]DCON READ_GetHotSwapSlotFirm0,B[115200],F[N,8,1], C[Disable], Cmd [~01HF0], Rec [!01A1.05]Raw [21 30 31 41 31 2E 30 35 ]
3:13:22 PM-> [0]DCON READ_GetHotSwapSlotStatus0,B[115200],F[N,8,1], C[Disable], Cmd [~01HZ0], Rec [!0100]Raw [21 30 31 30 30 ]
3:13:22 PM-> [0]DCON READ_GetHotSwapSlotID1,B[115200],F[N,8,1], C[Disable], Cmd [~01HN1], Rec [!01]Raw [21 30 31 ]
3:13:22 PM-> [16]DCON READ_GetHotSwapSlotStatus1,B[115200],F[N,8,1], C[Disable], Cmd [~01HZ1], Rec [!0100]Raw [21 30 31 30 30 ]
3:13:22 PM-> [0]DCON READ_GetHotSwapSlotID2,B[115200],F[N,8,1], C[Disable], Cmd [~01HN2], Rec [!01]Raw [21 30 31 ]
3:13:22 PM-> [0]DCON READ_GetHotSwapSlotStatus2,B[115200],F[N,8,1], C[Disable], Cmd [~01HZ2], Rec [!0100]Raw [21 30 31 30 30 ]
3:13:22 PM-> [16]DCON READ_GetHotSwapSlotID3,B[115200],F[N,8,1], C[Disable], Cmd [~01HN3], Rec [!01]Raw [21 30 31 ]
3:13:22 PM-> [0]DCON READ_GetHotSwapSlotStatus3,B[115200],F[N,8,1], C[Disable], Cmd [~01HZ3], Rec [!0100]Raw [21 30 31 30 30 ]
3:13:22 PM-> [0]DCON READ_GetHotSwapSlotID4,B[115200],F[N,8,1], C[Disable], Cmd [~01HN4], Rec [!01]Raw [21 30 31 ]
3:13:22 PM-> [0]DCON READ_GetHotSwapSlotStatus4,B[115200],F[N,8,1], C[Disable], Cmd [~01HZ4], Rec [!0100]Raw [21 30 31 30 30 ]
3:13:22 PM-> [0]DCON READ_GetHotSwapSlotID5,B[115200],F[N,8,1], C[Disable], Cmd [~01HN5], Rec [!01]Raw [21 30 31 ]
3:13:22 PM-> [0]DCON READ_GetHotSwapSlotStatus5,B[115200],F[N,8,1], C[Disable], Cmd [~01HZ5], Rec [!0100]Raw [21 30 31 30 30 ]
